text,label,date,source
Type 1 conflict between Government of Algeria and AQIM in Algeria,1,2008-01-01,ucdp_api
Type 1 conflict between Government of Algeria and AIS in Algeria,1,1992-01-01,ucdp_api
Type 1 conflict between Government of Algeria and AIS in Algeria,1,1994-01-01,ucdp_api
Type 1 conflict between Government of Algeria and GIA in Algeria,1,1998-01-01,ucdp_api
Type 1 conflict between Government of Algeria and GIA in Algeria,1,1999-01-01,ucdp_api
Type 1 conflict between Government of Algeria and AQIM in Algeria,1,2006-01-01,ucdp_api
Type 1 conflict between Government of Algeria and AQIM in Algeria,1,2000-01-01,ucdp_api
Type 1 conflict between Government of Algeria and AIS in Algeria,1,1993-01-01,ucdp_api
Type 1 conflict between Government of Algeria and AQIM in Algeria,1,2007-01-01,ucdp_api
Type 1 conflict between Government of Algeria and AQIM in Algeria,1,2003-01-01,ucdp_api
Type 3 conflict between GIA and Civilians in Algeria,1,2002-01-01,ucdp_api
Type 1 conflict between Government of Algeria and GIA in Algeria,1,1996-01-01,ucdp_api
Type 1 conflict between Government of Algeria and AQIM in Algeria,1,2004-01-01,ucdp_api
Type 3 conflict between GIA and Civilians in Algeria,1,1997-01-01,ucdp_api
Type 1 conflict between Government of Algeria and AQIM in Algeria,1,2010-01-01,ucdp_api
Type 1 conflict between Government of Algeria and AQIM in Algeria,1,2001-01-01,ucdp_api
Type 1 conflict between Government of Algeria and GIA in Algeria,1,1995-01-01,ucdp_api
Type 1 conflict between Government of Algeria and Takfir wa'l Hijra in Algeria,1,1992-01-01,ucdp_api
Type 1 conflict between Government of Algeria and GIA in Algeria,1,1997-01-01,ucdp_api
Type 1 conflict between Government of Algeria and GIA in Algeria,1,1994-01-01,ucdp_api
Type 1 conflict between Government of Algeria and AQIM in Algeria,1,2009-01-01,ucdp_api
Type 2 conflict between GIA - El Ahd Battalion and GIA - El Khadra Battalion in Algeria,1,1998-01-01,ucdp_api
Type 1 conflict between Government of Algeria and GIA in Algeria,1,2001-01-01,ucdp_api
Type 1 conflict between Government of Algeria and AQIM in Algeria,1,2005-01-01,ucdp_api
Type 1 conflict between Government of Algeria and AQIM in Algeria,1,2002-01-01,ucdp_api
Type 3 conflict between AQIM and Civilians in Algeria,1,2004-01-01,ucdp_api
Type 3 conflict between AQIM and Civilians in Algeria,1,2007-01-01,ucdp_api
Type 3 conflict between GIA and Civilians in Algeria,1,2003-01-01,ucdp_api
Type 3 conflict between GIA and Civilians in Algeria,1,1998-01-01,ucdp_api
Type 1 conflict between Government of Algeria and AIS in Algeria,1,1999-01-01,ucdp_api
Type 3 conflict between GIA and Civilians in Algeria,1,1999-01-01,ucdp_api
Type 1 conflict between Government of Algeria and GIA in Algeria,1,2004-01-01,ucdp_api
Type 3 conflict between AQIM and Civilians in Algeria,1,2006-01-01,ucdp_api
Type 2 conflict between AIS and GIA in Algeria,1,1994-01-01,ucdp_api
Type 3 conflict between AQIM and Civilians in Algeria,1,2010-01-01,ucdp_api
Type 3 conflict between GIA and Civilians in Algeria,1,2000-01-01,ucdp_api
Type 1 conflict between Government of Algeria and GIA in Algeria,1,2003-01-01,ucdp_api
Type 3 conflict between AQIM and Civilians in Algeria,1,2009-01-01,ucdp_api
Type 2 conflict between GIA - El Forkane and GIA - El Khadra Battalion in Algeria,1,1998-01-01,ucdp_api
Type 3 conflict between AQIM and Civilians in Algeria,1,2002-01-01,ucdp_api
Type 1 conflict between Government of Algeria and Takfir wa'l Hijra in Algeria,1,1991-01-01,ucdp_api
Type 1 conflict between Government of Algeria and Takfir wa'l Hijra in Algeria,1,1990-01-01,ucdp_api
Type 2 conflict between AIS and GIA in Algeria,1,1997-01-01,ucdp_api
Type 1 conflict between Government of Algeria and GIA in Algeria,1,2002-01-01,ucdp_api
Type 1 conflict between Government of Mali and AQIM in Mali,1,2009-01-01,ucdp_api
